x,y,class
0.227508308,0.416048885,C1
0.183400085,0.474863246,C1
0.168842081,0.449631524,C1
0.224405429,0.458591168,C1
0.204034112,0.44851084,C1
0.232958388,0.443519692,C1
0.195615771,0.408354683,C1
0.167756617,0.440856874,C1
0.227937685,0.411376037,C1
0.196466144,0.43908991,C1
0.200461007,0.441441212,C1
0.182879035,0.43788407,C1
0.182625342,0.494336682,C1
0.200348844,0.474853755,C1
0.184966377,0.496735866,C1
0.194653113,0.509956364,C1
0.217024735,0.464924004,C1
0.217181505,0.505749973,C1
0.195915394,0.538862662,C1
0.218163117,0.503143537,C1
0.243478035,0.521037219,C1
0.254150396,0.517734568,C1
0.256630695,0.523945739,C1
0.208851768,0.56678576,C1
0.233325182,0.536749771,C1
0.202619287,0.502896327,C1
0.228625752,0.506019323,C1
0.237206118,0.455405049,C1
0.252400005,0.469148016,C1
0.173389158,0.513753096,C1
0.196226653,0.504092777,C1
0.285226697,0.554791622,C1
0.238665005,0.57751542,C1
0.189018074,0.552234339,C1
0.205273322,0.532521896,C1
0.192802038,0.51587658,C1
0.247716466,0.598077372,C1
0.297274684,0.567107857,C1
0.260117332,0.547413657,C1
0.3048867,0.557102561,C1
0.297621707,0.557496925,C1
0.246358609,0.526158924,C1
0.272506091,0.580954528,C1
0.300822574,0.562652422,C1
0.338541097,0.610100092,C1
0.277087147,0.590981797,C1
0.267930995,0.595680424,C1
0.346140039,0.634310217,C1
0.307882251,0.611546887,C1
0.349229611,0.58202347,C1
0.349224182,0.556796103,C1
0.345252136,0.569282433,C1
0.27977548,0.596346919,C1
0.314355878,0.633033246,C1
0.337931208,0.577770356,C1
0.343001562,0.567302915,C1
0.346811348,0.56564877,C1
0.36498898,0.582906155,C1
0.358940103,0.579989349,C1
0.320774962,0.555538207,C1
0.383611633,0.514544142,C1
0.435734209,0.50702712,C1
0.402430763,0.495251934,C1
0.396522703,0.541647177,C1
0.370028882,0.567657244,C1
0.388243885,0.543323959,C1
0.369237366,0.527942537,C1
0.414028614,0.456287815,C1
0.404391548,0.529724652,C1
0.385787814,0.509598372,C1
0.429027344,0.548251993,C1
0.399120515,0.506933736,C1
0.405679886,0.46728151,C1
0.350655482,0.489555057,C1
0.370503499,0.45589741,C1
0.421697319,0.505454662,C1
0.388085519,0.491364466,C1
0.448580251,0.50651581,C1
0.389780388,0.433039729,C1
0.377630937,0.425874458,C1
0.399685435,0.469966707,C1
0.342673013,0.445944209,C1
0.417841997,0.422782993,C1
0.386427864,0.446919024,C1
0.355287507,0.412357438,C1
0.375017668,0.405378218,C1
0.350287442,0.420178218,C1
0.362928827,0.396277819,C1
0.377065794,0.415960213,C1
0.356140089,0.443357853,C1
0.355310767,0.383703222,C1
0.29250795,0.40908555,C1
0.284892812,0.356053303,C1
0.317687093,0.413621146,C1
0.378667217,0.39873498,C1
0.346239081,0.367940432,C1
0.312129547,0.341333593,C1
0.290382157,0.390554574,C1
0.329740413,0.359779215,C1
0.329649068,0.373822483,C1
0.27959077,0.348423387,C1
0.306909998,0.404802421,C1
0.273835593,0.391677076,C1
0.275478547,0.357204952,C1
0.299214434,0.322022485,C1
0.309880997,0.332570324,C1
0.28539798,0.353311626,C1
0.288782629,0.391604019,C1
0.362914051,0.390549057,C1
0.306398419,0.400178508,C1
0.288113025,0.421315846,C1
0.266502644,0.399703408,C1
0.289830432,0.406849532,C1
0.305064093,0.441511402,C1
0.256688046,0.474520449,C1
0.289921928,0.445830477,C1
0.24259564,0.417569931,C1
0.321812951,0.419954143,C1
0.276295511,0.392913128,C1
0.251182142,0.394337011,C1
0.288571065,0.481671337,C1
0.273107795,0.486277985,C1
0.297949808,0.459530706,C1
0.33412103,0.425051713,C1
0.313142942,0.427946059,C1
0.304795816,0.4704314,C1
0.324256956,0.528266512,C1
0.326498814,0.491977295,C1
0.358438464,0.501204338,C1
0.303633346,0.460369828,C1
0.351849421,0.469368056,C1
0.336008861,0.486734136,C1
0.315712485,0.547283188,C1
0.342084885,0.496852341,C1
0.349261697,0.562707126,C1
0.397104399,0.506317543,C1
0.367884717,0.511066521,C1
0.42142205,0.535886282,C1
0.420736545,0.590155687,C1
0.355178728,0.5403128,C1
0.375856968,0.581797991,C1
0.40739473,0.593267586,C1
0.392485417,0.580627,C1
0.390690735,0.562867013,C1
0.374471305,0.596365166,C1
0.421053959,0.62246901,C1
0.392277379,0.533241472,C1
0.422196871,0.597847043,C1
0.391108354,0.585232744,C1
