x,y,class
0.192637251,0.433191291,C1
0.148992607,0.397945031,C1
0.167507192,0.399485458,C1
0.207896159,0.415927614,C1
0.195949432,0.407397856,C1
0.104914684,0.449325214,C1
0.197484533,0.496122438,C1
0.125929276,0.415929841,C1
0.128603985,0.450497713,C1
0.111170485,0.43230861,C1
0.173198525,0.487075916,C1
0.071856243,0.374363959,C1
0.161158268,0.525611436,C1
0.17269398,0.469670012,C1
0.106136244,0.47566476,C1
0.226983185,0.480430987,C1
0.11710458,0.52716576,C1
0.147558603,0.582869887,C1
0.26900225,0.576102273,C1
0.225734454,0.558685978,C1
0.214854058,0.577347819,C1
0.152134372,0.563479023,C1
0.202889716,0.536706328,C1
0.200413852,0.607057916,C1
0.248585088,0.608504153,C1
0.262965556,0.648385175,C1
0.215098027,0.63986277,C1
0.269162266,0.592511517,C1
0.233581465,0.649028199,C1
0.196260642,0.626415188,C1
0.309746563,0.659269948,C1
0.285039439,0.669433012,C1
0.373411962,0.694368688,C1
0.287560336,0.677809546,C1
0.299134799,0.650196917,C1
0.34626668,0.681809336,C1
0.317745212,0.747508347,C1
0.351050415,0.662991324,C1
0.334692555,0.763899622,C1
0.298951352,0.697685712,C1
0.248145309,0.795643286,C1
0.356946339,0.73070062,C1
0.41805541,0.722952277,C1
0.349048591,0.666829591,C1
0.365008832,0.755545825,C1
0.376999108,0.742196722,C1
0.33871305,0.702967042,C1
0.364024685,0.717491225,C1
0.400007467,0.776829219,C1
0.432009963,0.792084263,C1
0.334785866,0.746972946,C1
0.352725731,0.752783937,C1
0.323601186,0.683668793,C1
0.474203614,0.782862097,C1
0.425078105,0.654233864,C1
0.415777221,0.687080558,C1
0.389328509,0.695086683,C1
0.424630383,0.682054143,C1
0.412935064,0.723136976,C1
0.409646299,0.758472215,C1
0.474900659,0.699746371,C1
0.455178818,0.694723553,C1
0.382837081,0.691387326,C1
0.432021607,0.685662793,C1
0.452172642,0.705106838,C1
0.409247152,0.729747196,C1
0.485166474,0.645231707,C1
0.420029586,0.672496732,C1
0.413677838,0.675877469,C1
0.344277728,0.628304551,C1
0.428918814,0.634044177,C1
0.418955718,0.647180374,C1
0.421542368,0.617856374,C1
0.384601193,0.613845022,C1
0.414164885,0.591868888,C1
0.351983281,0.709590528,C1
0.430507392,0.598561974,C1
0.357295738,0.632810931,C1
0.355656605,0.610417551,C1
0.40257363,0.594770302,C1
0.377029007,0.614529482,C1
0.392911101,0.53375947,C1
0.421496361,0.54196389,C1
0.395487918,0.526840148,C1
0.404283534,0.48311645,C1
0.357174635,0.537909349,C1
0.360207931,0.513291284,C1
0.352325912,0.565858776,C1
0.290502141,0.525192594,C1
0.359270372,0.53162301,C1
0.306339228,0.445605492,C1
0.32719085,0.445864573,C1
0.311344666,0.470907635,C1
0.30027647,0.465513129,C1
0.323871944,0.474254052,C1
0.259898371,0.492039374,C1
0.270732605,0.410399824,C1
0.217727095,0.454811269,C1
0.247615271,0.413665447,C1
0.268760818,0.442645948,C1
0.22710241,0.414626534,C1
0.246754451,0.454633895,C1
0.234065843,0.392002578,C1
0.165877236,0.38398968,C1
0.245190171,0.400334525,C1
0.261875296,0.381567862,C1
0.25841543,0.465057147,C1
0.285597781,0.432450851,C1
0.203954621,0.396131065,C1
0.271499387,0.376462115,C1
0.197096362,0.353081779,C1
0.206549487,0.343177147,C1
0.215579242,0.3896208,C1
0.221361437,0.377172325,C1
0.197096465,0.368131,C1
0.17912948,0.353584109,C1
0.171536407,0.34307724,C1
0.177095351,0.28819853,C1
0.170719099,0.285453078,C1
0.182221088,0.343488727,C1
0.205885067,0.35208225,C1
0.183868168,0.290707837,C1
0.189041656,0.33811833,C1
0.102616106,0.335024494,C1
0.142885844,0.332369983,C1
0.195510768,0.306230083,C1
0.145913271,0.312546955,C1
0.144017853,0.311628334,C1
0.180913624,0.355235225,C1
0.107360469,0.318730585,C1
0.171428532,0.299512206,C1
0.092822406,0.363092647,C1
0.11875066,0.393248442,C1
0.074865836,0.328529927,C1
0.156310391,0.383893944,C1
0.114034652,0.345877713,C1
0.105976925,0.364769518,C1
0.089620353,0.356461604,C1
0.130612802,0.421315383,C1
0.110095203,0.396678213,C1
0.084385363,0.390768202,C1
0.139625466,0.489789188,C1
0.131722681,0.421958235,C1
0.075634574,0.454521408,C1
0.166298492,0.563638262,C1
0.099122632,0.555040023,C1
0.113642731,0.493531988,C1
0.09205777,0.552603009,C1
0.089497583,0.567298677,C1
0.077724878,0.60603365,C1
0.169375384,0.629585793,C1
0.194931135,0.708236023,C1
0.13520393,0.583719693,C1
0.143152837,0.677217735,C1
0.13145022,0.619959575,C1
0.154956223,0.641989097,C1
0.226320504,0.735031332,C1
0.157929156,0.679654911,C1
0.242889856,0.710544561,C1
0.241237462,0.755885458,C1
0.212725133,0.741060428,C1
0.228744748,0.693903826,C1
0.317095524,0.795128542,C1
0.266242443,0.808636008,C1
0.295766572,0.827139194,C1
0.288628105,0.839811102,C1
0.283105132,0.818767742,C1
0.27421729,0.812921159,C1
0.340969603,0.840491393,C1
0.380098809,0.82003574,C1
0.318230008,0.802875001,C1
0.295716249,0.813144138,C1
0.328580997,0.83782379,C1
0.375154807,0.750201011,C1
0.408577235,0.852804352,C1
0.44452969,0.856493533,C1
0.483248173,0.854149252,C1
0.353400487,0.797959956,C1
0.444946483,0.824140001,C1
0.436882986,0.808081697,C1
0.479842641,0.732653818,C1
0.569185298,0.838607667,C1
0.489229576,0.792182106,C1
0.535350234,0.75246524,C1
0.517070032,0.838387833,C1
0.530013708,0.79132455,C1
0.546362361,0.728401383,C1
0.548966795,0.812448639,C1
0.562229535,0.730690021,C1
0.534321729,0.750515886,C1
0.552639402,0.762483096,C1
0.535212293,0.749064862,C1
0.556752552,0.757097297,C1
0.599395684,0.763221792,C1
0.586506705,0.701642332,C1
0.570166276,0.687962342,C1
0.59279822,0.687762456,C1
0.586539854,0.772093551,C1
0.545289989,0.651852217,C1
0.504197923,0.720979658,C1
0.506366329,0.653537522,C1
0.537240472,0.670145069,C1
0.548557995,0.649419845,C1
0.563649278,0.636220436,C1
0.519812467,0.577911422,C1
0.488095562,0.600014758,C1
0.46205208,0.583947421,C1
0.497153644,0.583080026,C1
0.500743749,0.592732037,C1
0.471002004,0.552315549,C1
0.396666062,0.527532807,C1
0.443902687,0.528190939,C1
0.432624805,0.465104934,C1
0.427565584,0.513888515,C1
0.411646506,0.492464816,C1
0.482905829,0.452960586,C1
0.429087368,0.416587399,C1
0.456117318,0.430283675,C1
0.391062104,0.383225993,C1
0.444248372,0.434601035,C1
0.388539206,0.408422424,C1
0.382841656,0.385805616,C1
0.370498334,0.395808866,C1
0.393819027,0.372568218,C1
0.383333874,0.417705997,C1
0.330630092,0.36044056,C1
0.420833549,0.404032103,C1
0.403915528,0.426231435,C1
0.370354098,0.344505138,C1
0.32773557,0.319538421,C1
0.342163403,0.351185623,C1
0.347028251,0.354797618,C1
0.379314928,0.344153387,C1
0.390085,0.304849621,C1
0.349900055,0.267899296,C1
0.312021062,0.251709902,C1
0.300294715,0.349912184,C1
0.308887562,0.33567879,C1
0.324338052,0.324215947,C1
0.382473829,0.353936234,C1
0.262726561,0.391051999,C1
0.278131722,0.333334229,C1
0.260260684,0.340420851,C1
0.31188696,0.35146941,C1
0.223147255,0.319422647,C1
0.26722401,0.325946817,C1
0.224845123,0.308447754,C1
0.236863055,0.338640643,C1
0.241524807,0.274126478,C1
0.203901518,0.283029161,C1
0.251656514,0.295136458,C1
0.20022215,0.282096578,C1
0.216272441,0.365342502,C1
0.195953131,0.339365604,C1
0.221103622,0.299784512,C1
0.249114544,0.332169614,C1
0.19288468,0.299978326,C1
0.192885206,0.29990434,C1
0.207579063,0.332192035,C1
0.17027086,0.380576376,C1
0.187230166,0.356661569,C1
0.182224966,0.302195125,C1
0.226800613,0.305163987,C1
0.186125946,0.330820229,C1
0.410340865,0.150731078,C2
0.47648397,0.094052815,C2
0.474237017,0.08957569,C2
0.383003232,0.109025092,C2
