评论ID,评论内容
16512,还不错啊
16515,实验环境无法进行输入，可能是网络原因吧，或者其他问题
16518,abc
16521,因为所在网络不稳定，当网络出现掉线后，实验楼界面就无法点击和输入了
16524,很不错，很好理解
16527,能不能自由选择学习章节
16533,连接远程库这块说的不够清楚
16536,挺不错的就是有视频就好多了
16539,浏览器打不开
16542,重启下
16545,神奇
16548,还要从头开始学
16551,ok
16557,内容比较简单，容易上手
16560,...
16563,很喜欢这个课程
16566,很全面，加上再看看鸟哥的私房菜肯定就没问题了！
16569,非常不错！
16572,平台好
16578,python基础
16581,非常值得练习的一些操作
16587,实验文档详细
16590,感觉一般般！
16593,好累。。
16596,为什么中文输不进去，导致程序无法运行
16599,挺好的~
16602,python基础下
16605,。。怎么算有效时间
16608,还在熟悉环境阶段
16611,很不错
16614,编译器不是很好用，有点不舒服
16617,自己还是太笨了
16620,越来越喜欢了！
16632,我靠思考的时间就不算学习时间了？
16635,对vim使用还是不太方便的
16638,简单
16641,又做了个有趣的实验~
16644,为什么说有些命令找不到  比如banner
16647,可以  趣味不错
16653,感觉nice！
16659,不是很困难
16662,非常好
16665,有效学习时间不准确啊
16668,for有点特别
16674,挺好的
16677,代码规范很重要
16680,额。还有点不熟悉代码
16683,Interesting
16686,加油吧！
16689,想继续学好编程
16692,教学环境很好，会更努力学习
16707,嗯 很好
16710,以为只要写代码的，毕竟很基础，没想到还要写报告，然后markdown也不会用又去搜语法。最后感觉实验报告也写完了应该就完了却说还有一个没完成。
16713,linux桌面环境，没啥
16716,挺好的
16719,很喜欢这种方式 希望你们坚持到底 越做越好
16722,linux不是很容易上手啊.....
16725,加油
16728,延迟。。。。
16731,简单的了解了vim的基本操作，需要用的时候可以针对性进行搜索
16734,很详细
16737,测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试
16740,just for fun
16743,很棒，对我来说是一次很大的锻炼
16746,垃圾
16749,挺好的，在线自学感觉掌握的还不错，继续努力
16752,讲的很详细，对数据库的操作更熟练了。感谢实验楼！
16755,还是不太熟悉操作环境，所以很生疏，实验报告也不是熟练
16758,挺与时俱进的，不错！
16761,测试部分讲的不够详细，
16764,基础文档缺乏，没经验的人看起来好累
16767,东西太多，记不住。。。
16770,本章教程有误 IF语句后面不加else会连续显示语句
16773,非常棒的平台学习平台
16776,非常实用的实验！！
16782,赞
16785,还没有想好怎么去做
16788,为什么有效学习时间只有6分钟
16791,有点明白了，所以有成就感，感谢这个实验平台
16794,想换一个
16797,不知所云
16800,第一次做实验 非常感谢作者！
16806,好难
16809,课程挺好的，就是试验期间切换浏览器窗口，shell环境会恢复初始。
16812,很好
16815,下午18:30的项目，晚上20:00分使用的时候还没有被删除。可能有点问题。
16818,刚刚开始
16821,响应好慢呀
16827,啊！
16830,主要讲的发展过程，初步了解编程过程或者说原理，学会第一步hello word
16836,套路太深，有点敲不动
16842,感觉代码有点问题还是自己太笨了
16845,这实验楼可以
16848,讲的是个大概，有些没有太清楚，不过还可以了，毕竟只是基础入门
16851,讲的是个大概，有些没有太清楚，不过还可以了，毕竟只是基础入门
16854,好
16857,很详细~
16860,eclipse 启动不了 干
16863,好
16866,代码部分在用的时候还是需要回头看看，但上手操作确实提升较快
16869,linux！
16872,洗洗睡。明天见
16875,AAAA
16878,好像没有mongodb集群部署的实验，--keyfile参数的实验使用
16884,基础的
16887,很棒 学会了很多 打算加入会员
16890,的确对新手友好。
16893,刚用Vim好别扭啊
16896,真棒
16902,基础太弱了，好多看不懂，课程不错
16908,很好
16911,很不错的教程
16935,编辑器不给力，不能自动补全
16947,很不错的一个学习平台
16953,初学vim，还很懵懂
16956,网络连接失败
16959,嗯，有点意思
16962,嗯，不错
16965,菜的要死
16968,挺好的。
16971,还不错
16974,真的不错！！！nice
16977,很好的体验！
16983,试试，好像还可以，有些功能还不懂用，比如推送到git服务器之类的。
16995,太基础 了，这些我都会的
16998,会的
17001,初次体验编程的乐趣，只是在终端里输入一些代码就能形成一个令人激动的程序，很惊讶也很开心
17007,这次没有成功中间出现问题了 我想再试一次
17010,简单
17013,非常好的环境！之前学过一些 codeAcademy课程中的东西，现在国内也有这样的网站了，很赞！
17016,先大致了解VIM的各项功能，以后有需要再详细了解操作。
17019,有意思，晚上有时间好好看一下
17022,第一次用 遇到好多问题。。。。
17025,怎么突然就结束~
17028,没适应！！等弄清楚再说！
17034,不错
17037,自己的linux虚拟机的文件忘了带了，正好发现这里的在线系统可以使用，帮了大忙了，感谢!好东西值得分享！以分享~
17040,不错的新手入门教程，就是动手部分少了点
17046,还行
17049,几天不弄就忘了git，好尴尬
17052,不错，介绍挺好的
17058,实现了8个命令查询
17061,第一次做实验，各种迷茫...对新手还是不太友好啊
17064,不知怎么写
17067,学到了很多  谢谢这个平台  我很喜欢
17070,比较卡，虚拟环境
17073,这是一个新的开始，加入学习算法和实践的队伍中。
17076,这是一个新的开始，加入学习算法和实践的队伍中。
17079,这是一个新的开始，加入学习算法和实践的队伍中。
17082,这是一个新的开始，加入学习算法和实践的队伍中。
17085,很新鲜
17091,没有编写好，老是提示错误链接
17094,挺不错的入门，简单易懂
17097,内容精致详实
17100,感觉不错
17106,so so
17109,简单、易懂
17112,需要多加练习
17115,可以可以
17118,还不错
17121,有效学习时间？
17124,继续学习
17127,简单的熟悉环境
17130,挺好的
17133,可以
17136,good
17142,不错
17145,感觉还不错。
17151,感觉很新奇，之前用慕课等等 还是觉得这个效果好
17157,加油
17160,网站不错！对于我们这种小白简直太好了！
17163,good
17166,谢谢老师给我们提供一个学习的平台，内容浅显易懂，图文并茂非常不错。
17169,听棒
17172,不怎么会这个命令，有些环境配置老出问题，还得多练！
17175,很好
17178,不错，这次实验收获很多常用的命令使用方法！
17181,最初期的操作
17184,12306 url 报错
17187,加油啊，快啊，赶紧学会
17190,very good
17193,为什么停止实验后，下次再进入的时候之前的数据都没有了？
17196,为什么停止实验后，下次再进入的时候之前的数据都没有了？
17199,真正上手挺难，为什么不坚持练习呢
17205,不错
17220,6
17223,不会操作
17226,卡的很
17229,懵懂阶段，
17232,很好~
17235,没看教程自己画了个头，本课程的主要目的是：学习html的div布局结构，理解盒模型概念，熟悉各种css属性，还是不错的
17238,没有好好学习
17241,环境太模糊了，累眼睛，还是准备学git本地来做！
17247,感谢有这样一个软件
17250,这里没有试验内容
17253,很棒
17271,谢谢
17274,真的很不错
17280,教程很简单明了
17286,还可以
17289,非常的方便啊
17292,不错
17295,删除了shiyanlou用户，这个挺好玩的，什么都要去试试。另外对命令还是不熟悉，很多命令用的时候不记得了，要去查看文档。
17298,迅速过一遍
17304,不是太明白
17307,哈哈哈
17310,ing
17316,666
17319,666
17322,666
17325,666
17328,666
17331,666
17334,666
17337,666
17343,还不错
17346,体验很好 给虚拟linux 界面点赞
17349,好给力的项目     希望继续免费
17352,实验形式很好
17355,删除了shiyanlou用户，这个挺好玩的，什么都要去试试。另外对命令还是不熟悉，很多命令用的时候不记得了，要去查看文档。
17358,挺简单的
17361,学习了几个新的命令，对于最后那个游戏很感兴趣~
17364,不错
17367,这个课程挺不错的，在做的过程中我对js的刮刮乐更理解了
17397,还不错！
17406,很喜欢最后那个动图~
17409,正则表达式，第一次接触，还行！
17412,真的很不错
17418,非常不错 大赞
17421,不错
17424,各种命令有点多，慢慢来。快学结束时发现网购的机械键盘到了，第一次玩，背光效果挺有意思的，玩了一身汗，差点兴奋得跳起来，先结束这课，吃个饭玩一会儿
17439,很专业，讲的很详细。
17454,源代码讲解清晰，挺好的
17457,非常好，谢谢提供平台
17463,挺好的
17469,很不错，适合小白，和真正想学习的人，尤其是实验平台，真的很棒！
17472,谢谢提供环境
17475,Linux真好
17478,"实验环境太差，不明白这个转换字符界面有什么用，容易让人点错，使得代码不能保存,建议删除！还有计时功能绝对有bug：不能延时，到了可以延时时间，实验时间就会变成好几千分钟，此时点击延时就会出现说未到延时时间，但是随后不长时间后就会通知你实验结束，实验环境删除！！根本延时不了！！这个bug要是不修复，根本无法安心使用!"
17481,啊啊啊啊啊系统卡死了，把我的代码弄没了。。
17484,晚安
17487,不错
17490,不错
17493,一开始看起来还不错
17496,不错，动手操作比较学进去，学完要对本节课学到的内容进行总结和吸收
17499,很棒的一个学习环境。
17502,不错的网站！以后会经常来学习的。
17508,good!
17511,不错
17514,美美哒
17517,标准库上来就讲正则，对于新手有点难
